"","X","cluster"
"1197","2017-04-01_4",4
"1200","2017-05-01_2",4
"1202","2017-05-01_4",4
"1206","2017-06-01_3",4
"1207","2017-06-01_4",4
"1210","2017-07-01_2",4
"1212","2017-07-01_4",4
"1216","2017-08-01_3",4
"1217","2017-08-01_4",4
"1220","2017-09-01_2",4
"1222","2017-09-01_4",4
"1225","2017-10-01_2",4
"1227","2017-10-01_4",4
"1230","2017-11-01_2",4
"1232","2017-11-01_4",4
"1235","2017-12-01_2",4
"1237","2017-12-01_4",4
"1240","2018-01-01_2",4
"1242","2018-01-01_4",4
"1245","2018-02-01_2",4
"1247","2018-02-01_4",4
"1250","2018-03-01_2",4
"1252","2018-03-01_4",4
"1255","2018-04-01_2",4
"1257","2018-04-01_4",4
"1260","2018-05-01_2",4
"1261","2018-05-01_3",4
"1265","2018-06-01_2",4
"1266","2018-06-01_3",4
"1270","2018-07-01_2",4
"1271","2018-07-01_3",4
"1275","2018-08-01_2",4
"1276","2018-08-01_3",4
"1280","2018-09-01_2",4
"1281","2018-09-01_3",4
"1285","2018-10-01_2",4
"1286","2018-10-01_3",4
"1290","2018-11-01_2",4
"1291","2018-11-01_3",4
"1295","2018-12-01_2",4
"1296","2018-12-01_3",4
"1300","2019-01-01_2",4
"1301","2019-01-01_3",4
"1305","2019-02-01_2",4
"1306","2019-02-01_3",4
"1310","2019-03-01_2",4
"1311","2019-03-01_3",4
"1315","2019-04-01_2",4
"1316","2019-04-01_3",4
"1320","2019-05-01_2",4
"1321","2019-05-01_3",4
"1325","2019-06-01_2",4
"1326","2019-06-01_3",4
"1330","2019-07-01_2",4
"1331","2019-07-01_3",4
"1335","2019-08-01_2",4
"1336","2019-08-01_3",4
"1340","2019-09-01_2",4
"1341","2019-09-01_3",4
"1343","2019-09-01_5",4
"1346","2019-10-01_2",4
"1347","2019-10-01_3",4
"1349","2019-10-01_5",4
"1352","2019-11-01_2",4
"1353","2019-11-01_3",4
"1357","2019-12-01_2",4
"1358","2019-12-01_3",4
"1360","2019-12-01_5",4
"1363","2020-01-01_2",4
"1364","2020-01-01_3",4
"1368","2020-02-01_2",4
"1370","2020-02-01_4",4
"1373","2020-03-01_2",4
"1374","2020-03-01_3",4
"1378","2020-04-01_2",4
"1379","2020-04-01_3",4
"1383","2020-05-01_2",4
"1384","2020-05-01_3",4
"1388","2020-06-01_2",4
"1389","2020-06-01_3",4
"1393","2020-07-01_2",4
"1394","2020-07-01_3",4
"1396","2020-07-01_5",4
"1399","2020-08-01_2",4
"1400","2020-08-01_3",4
"1404","2020-09-01_2",4
"1405","2020-09-01_3",4
"1407","2020-09-01_5",4
"1410","2020-10-01_2",4
"1411","2020-10-01_3",4
"1415","2020-11-01_2",4
"1416","2020-11-01_3",4
"1418","2020-11-01_5",4
"1421","2020-12-01_2",4
"1422","2020-12-01_3",4
"1424","2020-12-01_5",4
"1427","2021-01-01_2",4
"1428","2021-01-01_3",4
"1430","2021-01-01_5",4
"1433","2021-02-01_2",4
"1434","2021-02-01_3",4
"1436","2021-02-01_5",4
"1439","2021-03-01_2",4
"1440","2021-03-01_3",4
"1442","2021-03-01_5",4
"1445","2021-04-01_2",4
"1446","2021-04-01_3",4
"1448","2021-04-01_5",4
"1451","2021-05-01_2",4
"1452","2021-05-01_3",4
"1454","2021-05-01_5",4
"1457","2021-06-01_2",4
"1458","2021-06-01_3",4
"1460","2021-06-01_5",4
"1463","2021-07-01_2",4
"1464","2021-07-01_3",4
"1466","2021-07-01_5",4
"1469","2021-08-01_2",4
"1470","2021-08-01_3",4
"1472","2021-08-01_5",4
