"('2003-04-25', '2005-03-31')","('2005-04-01', '2007-11-30')","('2007-12-01', '2009-06-30')","('2009-07-01', '2012-02-29')","('2012-03-01', '2014-10-31')","('2014-11-01', '2017-06-30')","('2017-07-01', '2020-01-31')",win_max_consec,win_period,var_1,var_1_text,var_2,var_2_text
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2->2; 7->7,fCo,1,sGom,1
0.0,1.0,1.0,0.0,0.0,1.0,0.0,2,2->3,fEnv,1,sCo,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,BasMom,0,DProd,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,2,2->3,tnote_10y,0,sCo,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,BasMom,0,FutRet,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,DInv,0,sEpg,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2->2; 7->7,BEME,0,PCAsent,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2->2; 7->7,BEME,0,sent,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,2->2; 5->5,BasMom,0,sEpg,1
0.0,1.0,0.0,0.0,1.0,1.0,0.0,2,5->6,DolBeta,0,fRpc,1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2->3,BasMom,0,sCo,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2->2,BasMom,0,basis,0
